Date,Open,High,Low,Close,Volume
2025-03-07,3600.0,3625.0,3574.39990234375,3611.199951171875,2051315
2025-03-06,3557.0,3609.449951171875,3536.10009765625,3601.60009765625,2786513
2025-03-05,3520.85009765625,3600.35009765625,3520.85009765625,3547.050048828125,2501894
2025-03-04,3474.0,3551.0,3464.300048828125,3532.050048828125,2797737
2025-03-03,3485.0,3523.25,3476.14990234375,3493.050048828125,4990439
2025-02-28,3584.949951171875,3600.0,3457.0,3483.25,7085018
2025-02-27,3611.699951171875,3638.0,3600.699951171875,3612.550048828125,3823856
2025-02-25,3625.0,3658.0,3621.25,3629.550048828125,4101954
2025-02-24,3743.14990234375,3763.199951171875,3670.0,3675.60009765625,2508516
2025-02-21,3776.10009765625,3817.0,3775.0,3786.0,1833931
2025-02-20,3761.5,3788.0,3751.300048828125,3779.39990234375,2888572
2025-02-19,3872.199951171875,3874.949951171875,3768.14990234375,3784.10009765625,4366672
2025-02-18,3898.39990234375,3924.39990234375,3864.5,3873.199951171875,2149879
2025-02-17,3856.5,3934.0,3856.199951171875,3904.5,1799806
2025-02-14,3925.0,3948.0,3900.0,3934.85009765625,1681975
2025-02-13,3968.0,3984.449951171875,3902.25,3910.14990234375,2277310
2025-02-12,3971.10009765625,4021.75,3940.14990234375,3950.14990234375,1678002
2025-02-11,4018.39990234375,4040.0,3955.0,3963.550048828125,1810908
2025-02-10,4040.0,4052.0,4014.35009765625,4036.949951171875,1339511
2025-02-07,4090.0,4090.0,4008.0,4029.39990234375,1548940
2025-02-06,4105.39990234375,4139.5,4051.550048828125,4082.75,2284536
2025-02-05,4150.0,4150.0,4076.0,4091.10009765625,1693912
2025-02-04,4083.699951171875,4118.85009765625,4066.050048828125,4107.0498046875,2547132
2025-02-03,4030.89990234375,4077.0,3998.699951171875,4068.64990234375,1265713
2025-02-01,4113.0,4135.89990234375,4056.0,4073.14990234375,437172
2025-01-31,4110.0,4128.4501953125,4085.25,4112.39990234375,1492943
2025-01-30,4099.89990234375,4129.89990234375,4058.5,4100.0498046875,1531251
2025-01-29,4054.0,4107.85009765625,4054.0,4099.7998046875,1217089
2025-01-28,4070.800048828125,4102.0,4028.300048828125,4040.300048828125,2468272
2025-01-27,4102.0,4156.35009765625,4041.050048828125,4065.14990234375,1551782
2025-01-24,4104.0,4178.0,4104.0,4152.35009765625,1910099
2025-01-23,4168.0,4191.35009765625,4140.0498046875,4145.4501953125,1822998
2025-01-22,4050.0,4163.14990234375,4044.199951171875,4156.60009765625,2409223
2025-01-21,4095.300048828125,4111.0,4030.0,4035.85009765625,1971591
2025-01-20,4145.7998046875,4145.7998046875,4068.10009765625,4077.800048828125,1287799
2025-01-17,4159.89990234375,4160.60009765625,4100.0498046875,4124.2998046875,1761466
2025-01-16,4193.1574036432985,4226.62391813247,4126.0768244014525,4140.2998046875,2637705
2025-01-15,4151.81662842586,4189.663513268121,4141.432357556204,4182.9208984375,1653474
2025-01-14,4234.498194661013,4246.211378062048,4152.8495539595815,4166.6298828125,3441709
2025-01-13,4178.392778567286,4255.119877078866,4161.068839592267,4223.76953125,4003771
2025-01-10,4134.098942416888,4229.576941801279,4104.569664256768,4198.71875,7894300
2025-01-09,4036.6522632657784,4072.8256284632957,3962.140100567154,3975.4775390625,2392472
2025-01-08,3971.5893051277485,4061.259974116957,3954.708497578382,4043.93603515625,2181277
2025-01-07,4050.3835586581686,4075.3849175960827,3948.605837566856,3965.093017578125,2669054
2025-01-06,4041.081584910857,4084.538741733885,4002.5949975020426,4030.746337890625,2085593
2025-01-03,4114.36357856104,4114.36357856104,4028.088729938378,4035.5693359375,1791953
2025-01-02,4055.3542496108485,4117.365734495675,4032.6661128651804,4110.2294921875,1720835
2025-01-01,4030.1557808587904,4069.134524093068,4021.346260950125,4047.9228515625,763161
2024-12-31,4070.1187442915557,4074.9912673216186,3968.7841551770334,4030.549560546875,1555429
2024-12-30,4085.8677460209447,4133.409691121346,4047.479684808028,4093.545166015625,1527169
2024-12-27,4097.679420039338,4115.347963377728,4082.1765493053435,4099.50048828125,858100
2024-12-26,4113.920313335754,4134.049628782047,4078.140577688001,4103.68359375,1208464
2024-12-24,4093.0528623167015,4151.816315358072,4093.0528623167015,4113.92041015625,1181886
2024-12-23,4134.147889868673,4150.832123971284,4050.3340530174855,4093.052978515625,2195338
2024-12-20,4261.074819097192,4313.24321027579,4087.3442333797852,4104.86474609375,4116989
2024-12-19,4214.812225056753,4295.525583873814,4195.126039979421,4204.87060546875,3015763
2024-12-18,4244.046224337432,4293.556785484744,4222.2928946144,4279.62890625,1575404
2024-12-17,4340.8037221053055,4363.393811274363,4250.247272573856,4260.58251953125,3225027
